name, nickname, house, imageUrl
Petyr Baelish,Littlefinger,Baelish,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/petyr-baelish-512x512.jpg
Myrcella Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/myrcella-baratheon-512x512.jpg
Stannis Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/stannis-512x512.jpg
Tommen Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tommon-baratheon-512x512.jpg
Roose Bolton,null,Bolton,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/roose-bolton-512x512.jpg
Brienne of Tarth,Brienne the Beauty,Tarth,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/brienne-of-tarth-512x512.jpg
Bronn,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/bronn-512x512.jpg
Theon Greyjoy,null,Greyjoy,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/theon-greyjoy-512x512.jpg
Areo Hotah,null,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/areo-hotah-512x512.jpg
Jaqen H'ghar,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jaqen-hghar-512x512.jpg
Cersei Lannister,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/cersei-lannister-512x512.jpg
Jaime Lannister,Kingslayer,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jamie-lannister-512x512.jpg
Tyrion Lannister,The Imp,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tyrion-lannister-512x512.jpg
Melisandre,The Red Woman,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/melisandre-512x512.jpg
Missandei,null,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/missandei-512x512.jpg
Doran Martell,null,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/doran-martell-512x512.jpg
Trystane Martell,null,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/trystane-martell-512x512.jpg
Jorah Mormont,null,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jorah-mormont-512x512.jpg
Daario Naharis,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/daario-naharis-512x512.jpg
Mance Rayder,The King in the North,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/mance-rayder-512x512.jpg
Ellaria Sand,null,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ellaria-sand-512x512.jpg
Nymeria Sand,Sand Snake,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/nymeria-sand-512x512.jpg
Obara Sand,Sand Snake,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/obera-sand-512x512.jpg
Tyene Sand,Sand Snake,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tyene-sand-512x512.jpg
Davos Seaworth,The Onion Knight,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/davos-seaworth-512x512.jpg
Jon Snow,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/john-snow-512x512.jpg
Ramsay Snow,The Bastard,Bolton,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ramsay-512x512.jpg
Arya Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/arya-stark-512x512.jpg
Bran Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/bran-stark-512x512.jpg
Sansa Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/sansa-stark-160.jpg
High Septon,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/high-sparrow-512x512.jpg
Daenerys Targaryen,Mother Of Dragons,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/daenarys-512x512.jpg
Samwell Tarly,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/samwell-512x512.jpg
Tormund Giantsbane,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tormund-512x512.jpg
Margaery Tyrell,null,Tyrell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/margarey-tyrell-512x512.jpg
Olenna Tyrell,The Queen of Thorns,Tyrell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/olenna-tyrell-512x512.jpg
Varys,The Spider,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/maetser-varys-512x512.jpg
Aemon II Targaryen,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/aemon-targaryen-512x512.jpg
Lysa Arryn,null,Arryn,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/lysa-arryn-512x512.jpg
Robin Arryn,null,Arryn,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/robyn-arryn-512x512.jpg
Joffrey Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/joffrey-512x512.jpg
Renly Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/renly-baratheon-512x512.jpg
Robert Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/robert-baratheon-512x512.jpg
Jory Cassel,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jory-cassel-512x512.jpg
Rodrik Cassel,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ser-rodrik-cassel-512x512.jpg
Berric Dondarrion,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/beric-dondarron-512x512.jpg
Khal Drogo,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/khal-drogo-512x512.jpg
Syrio Forel,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/syrio-forel-512x512.jpg
Gendry,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/gendry-512x512.jpg
Grenn,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/grenn-512x512.jpg
Balon Greyjoy,null,Greyjoy,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/balon-greyjoy-512x512.jpg
Yara Greyjoy,null,Greyjoy,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/yara-greyjoy-512x512.jpg
Hodor,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/hodor-512x512.jpg
Illyrio,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/magister-illyrio-160.jpg
Irri,null,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/irri-512x512.jpg
Richard Karstark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/karstark-512x512.jpg
Lancel Lannister,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/lancel-lannister-512x512.jpg
Tywin Lannister,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tywin-lannister-512x512.jpg
Maester Luwin,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/maester-luwin-512x512.jpg
Marillion,null,Arryn,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/marillion-512x512.jpg
Oberyn Martell,The Viper,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/oberyn-512x512.jpg
Sandor Clegane,The Hound,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/sandor-clegane-512x512.jpg
Mirri Maz Duur,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/mirri-maz-duur-512x512.jpg
Septa Mordane,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/septa-mordane-512x512.jpg
Jeor Mormont,The Great Bear,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jeor-mormont-512x512.jpg
Orell,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/orell-512x512.jpg
Osha,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/osha-512x512.jpg
Podrick Payne,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/podrick-payne-512x512.jpg
Grand Maester Pycelle,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/maester-pycelle-512x512.jpg
Pyp,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/pyp-512x512.jpg
Qyburn,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/qyburn-512x512.jpg
Rattleshirt,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/rattleshirt-512x512.jpg
Ros,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ros-512x512.jpg
Barristan Selmy,Barristan the Bold,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/barristan-selmy-512x512.jpg
Shae,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/shae-512x512.jpg
Janos Slynt,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/janos-slynt-512x512.jpg
Benjen Stark,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/benjen-stark-512x512.jpg
Catelyn Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/catelyn-stark-512x512.jpg
Eddard Stark,Ned,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/eddard-ned-stark-512x512.jpg
Rickon Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/rickon-stark-512x512.jpg
Robb Stark,The Young Wolf,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/robert-stark-512x512.jpg
Talisa Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/talisa-stark-512x512.jpg
Viserys Targaryen,null,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/viserys-targaryen-512x512.jpg
Alliser Thorne,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/allister-thorne-512x512.jpg
Thoros of Myr,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s3/thoros-160.jpg
Brynden Tully,The BlackFish,Tully,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/blackfish-tully-512x512.jpg
Ygritte,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ygritte-512x512.jpg
