userId, characterId, episode
1, 1, 1
1, 1, 2
1, 1, 3
1, 1, 4
1, 1, 5
1, 1, 6
1, 1, 7
1, 1, 8
1, 1, 9
1, 1, 10
1, 2, 1
1, 2, 2
1, 2, 3
1, 2, 4
1, 2, 5
1, 2, 6
1, 2, 7
1, 2, 8
1, 2, 9
1, 2, 10
1, 3, 1
1, 3, 2
1, 3, 3
1, 3, 4
1, 3, 5
1, 3, 6
1, 3, 7
1, 3, 8
1, 3, 9
1, 3, 10
1, 4, 1
1, 4, 2
1, 4, 3
1, 4, 4
1, 4, 5
1, 4, 6
1, 4, 7
1, 4, 8
1, 4, 9
1, 4, 10
1, 5, 1
1, 5, 2
1, 5, 3
1, 5, 4
1, 5, 5
1, 5, 6
1, 5, 7
1, 5, 8
1, 5, 9
1, 5, 10
1, 6, 1
1, 6, 2
1, 6, 3
1, 6, 4
1, 6, 5
1, 6, 6
1, 6, 7
1, 6, 8
1, 6, 9
1, 6, 10
2, 7, 1
2, 7, 2
2, 7, 3
2, 7, 4
2, 7, 5
2, 7, 6
2, 7, 7
2, 7, 8
2, 7, 9
2, 7, 9
2, 7, 10
2, 8, 1
2, 8, 2
2, 8, 3
2, 8, 4
2, 8, 5
2, 8, 6
2, 8, 7
2, 8, 8
2, 8, 9
2, 8, 10
2, 9, 1
2, 9, 2
2, 9, 3
2, 9, 4
2, 9, 5
2, 9, 6
2, 9, 7
2, 9, 8
2, 9, 9
2, 9, 10
2, 10, 1
2, 10, 2
2, 10, 3
2, 10, 4
2, 10, 5
2, 10, 6
2, 10, 7
2, 10, 8
2, 10, 9
2, 10, 10
2, 11, 1
2, 11, 2
2, 11, 3
2, 11, 4
2, 11, 5
2, 11, 6
2, 11, 7
2, 11, 8
2, 11, 9
2, 11, 10 
2, 12, 1
2, 12, 2
2, 12, 3
2, 12, 4
2, 12, 5
2, 12, 6
2, 12, 7
2, 12, 8
2, 12, 9
3, 13, 1
3, 13, 2
3, 13, 3
3, 13, 4
3, 13, 5
3, 13, 6
3, 13, 7
3, 13, 8
3, 13, 9
3, 13, 9
3, 13, 10
3, 14, 1
3, 14, 2
3, 14, 3
3, 14, 4
3, 14, 5
3, 14, 6
3, 14, 7
3, 14, 8
3, 14, 9
3, 14, 10
3, 15, 1
3, 15, 2
3, 15, 3
3, 15, 4
3, 15, 5
3, 15, 6
3, 15, 7
3, 15, 8
3, 15, 9
3, 15, 10
3, 16, 1
3, 16, 2
3, 16, 3
3, 16, 4
3, 16, 5
3, 16, 6
3, 16, 7
3, 16, 8
3, 16, 9
3, 16, 10
3, 17, 1
3, 17, 2
3, 17, 3
3, 17, 4
3, 17, 5
3, 17, 6
3, 17, 7
3, 17, 8
3, 17, 9
3, 17, 10 
3, 18, 1
3, 18, 2
3, 18, 3
3, 18, 4
3, 18, 5
3, 18, 6
3, 18, 7
3, 18, 8
3, 18, 9
3, 18, 10
4, 19, 1
4, 19, 2
4, 19, 3
4, 19, 4
4, 19, 5
4, 19, 6
4, 19, 7
4, 19, 8
4, 19, 9
4, 19, 9
4, 19, 10
4, 20, 1
4, 20, 2
4, 20, 3
4, 20, 4
4, 20, 5
4, 20, 6
4, 20, 7
4, 20, 8
4, 20, 9
4, 20, 10
4, 21, 1
4, 21, 2
4, 21, 3
4, 21, 4
4, 21, 5
4, 21, 6
4, 21, 7
4, 21, 8
4, 21, 9
4, 21, 10
4, 22, 1
4, 22, 2
4, 22, 3
4, 22, 4
4, 22, 5
4, 22, 6
4, 22, 7
4, 22, 8
4, 22, 9
4, 22, 10
4, 23, 1
4, 23, 2
4, 23, 3
4, 23, 4
4, 23, 5
4, 23, 6
4, 23, 7
4, 23, 8
4, 23, 9
4, 23, 10 
4, 24, 1
4, 24, 2
4, 24, 3
4, 24, 4
4, 24, 5
4, 24, 6
4, 24, 7
4, 24, 8
4, 24, 9
4, 24, 10
2, 12, 10
